"","test_1a","test_1b","test_2a","test_4b"
"nvisits",0.289073674341547,0.250933427902186,0.620118071271087,11.0526315789474
"active_day_percent",0.339339403504749,0.286296546198442,0.744792012511757,11.3636363636364
"nforms",0.388231713249244,0.282321660695008,0.654389105336965,11.4285714285714
"median_visit_duration",0.0308448220839833,0.0188185446989576,0.00753233379060532,0.680260188590874
"median_visits_per_day",0.152920418618576,0.205143047342239,0.475380809720748,0
"time_using_cc",-0.00415291197603002,0.0469929169727856,6.09269554918064e-05,11.1249446385513
"ncases_registered",0.582933916354565,0.234179849759924,0.686031764513255,10
"register_followup",0.360719148830959,0.232741238260506,0.733034323977127,10
"case_register_followup_rate",0.251792744942717,0.340735830141629,0.692940599904256,0
"ncases_touched",0.505458390540168,0.260743367189429,0.724782833564151,6.66666666666667
"nunique_followups",0.231547367944308,0.249290111810021,0.760717014174318,4.28571428571428
"audio_plays",0.170396294294073,0.024941634899994,0.701959077259775,NA
"network_warnings",0.110794395928072,0.101894761576885,0.34512032788039,10
"num_user_pk",NA,NA,1,0
"domain_numeric",NA,NA,1,0
"sample_undefined",0.00886232872472016,0.00103698737951723,5.08455910598372e-05,-0.308423653289013
"sample_normal",0.00331554755991792,0.00307686423902066,0.00170712931886232,-0.0171199498922674
"sample_percentile",0.010004290152447,0.005444876815179,-0.000379782095749035,-0.46153846153846
"sample_increase",NA,0.952770086743763,1,-0.00341856967044123
"sample_decrease",NA,0.536945192209649,1,0.00324717495777804
