"","Var1","Freq"
"1","",8
"2","Afghanistan",1
"3","Angola",1
"4","Bangladesh",3
"5","Benin",5
"6","Brazil",1
"7","Burkina Faso",2
"8","Burma",1
"9","Burundi",5
"10","California",1
"11","Canada",1
"12","Colombia",1
"13","Dominican Republic",1
"14","Ethiopia",8
"15","Ghana",7
"16","Grenada",1
"17","Guatemala",16
"18","Guinea",1
"19","Haiti",5
"20","India",119
"21","Indonesia",9
"22","KENYA",1
"23","Kenya",13
"24","Laos",5
"25","Lesotho",3
"26","Madagascar",1
"27","Malawi",23
"28","Mali",2
"29","Mexico",3
"30","Mozambique",12
"31","Myanmar",1
"32","Nepal",9
"33","Nicaragu",1
"34","Nicaragua",2
"35","Niger and Burkina Faso",1
"36","Nigeria",5
"37","Pakistan",2
"38","Philippines",1
"39","Philippines, Thailand",1
"40","Rwanda",3
"41","Senegal",10
"42","Sierra Leone",2
"43","South Africa",23
"44","South Sudan",1
"45","Spain",1
"46","Sri Lanka",1
"47","Syria",1
"48","Tanzania",10
"49","Thailand",3
"50","Togo",2
"51","USA",11
"52","Uganda",9
"53","United Kingdom",1
"54","United States",3
"55","United States of America",1
"56","Wales",1
"57","Zambia",10
"58","Zimbabwe",1
"59","bangladesh",2
"60","ethiopia",2
"61","france",1
"62","india",1
"63","kenya",1
"64","malawi",1
"65","sdfg",1
"66","senegal",1
"67","south africa",1
"68","south africa ",1
"69","test",1
"70",NA,6608
