"","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01"
"a.morethantwelve",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,2,4,3,3,5,5,5,5,5,5,6,6,5,6,6,11,5,5,16,18,9,9,8,9,9,8,10,10,23,0,0,0,0,6,0
"b.tentotwelve",0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,1,1,1,1,2,1,1,0,0,0,1,1,0,0,0,0,1,1,2,4,3,3,4,3,4,5,6,11,14,19,0,0,0,0,1,0
"c.seventonine",0,0,0,0,0,0,2,2,2,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,4,8,0,0,0,1,2,4,3,2,1,3,4,4,8,10,12,13,18,18,27,0,0,0,0,3,0
"d.fourtosix",0,0,0,3,2,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,5,1,1,2,3,2,2,2,1,3,5,8,7,14,21,18,16,20,38,54,62,0,0,0,0,5,0
"e.twothree",0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,7,0,0,0,3,4,1,3,1,0,1,2,3,9,13,7,13,22,24,19,35,63,51,26,90,0,0,0,0,0,0
"f.started",3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,2,0,7,5,1,0,0,3,1,0,3,5,1,1,2,3,8,16,8,16,15,23,16,34,47,37,34,71,259,0,0,0,0,0,0
"g.restart",0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,0,0,1,1,1,0,13,1,4,0,7,2,1,15,0,3,14,7,3,8,5,6,6,8,21,30,28,146,0,0,0,34,7,0
"h.total_gains",3,0,1,0,0,1,1,0,1,1,0,2,2,0,0,0,3,3,0,7,6,2,1,0,16,2,4,3,12,3,2,17,3,11,30,15,19,23,28,22,40,55,58,64,99,405,0,0,0,34,7,0
"i.active",3,2,3,3,2,3,3,2,3,4,2,4,6,6,6,5,7,8,6,12,17,15,8,5,21,19,23,12,23,12,11,28,23,24,51,54,58,59,81,86,100,132,168,192,221,626,0,0,0,34,22,0
"j.total_drops",0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,1,1,2,2,1,1,4,8,3,0,4,0,14,1,14,3,0,8,10,3,12,15,22,6,17,26,23,22,40,70,0,626,0,0,0,19,0
"k.two.d",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,0,0,5,1,0,1,1,1,9,2,6,2,8,5,8,7,22,15,0,259,0,0,0,0,0
"l.threetosix.d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,2,0,2,0,0,1,0,0,2,7,5,2,6,15,8,8,13,28,0,189,0,0,0,7,0
"m.seventonine.d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,1,0,0,0,1,1,1,0,0,0,4,5,2,3,11,0,73,0,0,0,2,0
"n.tentotwelve.d",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,2,1,9,0,37,0,0,0,4,0
"o.morethantwelve.d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,6,7,1,0,5,11,2,3,2,2,3,1,7,0,68,0,0,0,6,0
